Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Economic CSE (real),-344.811442279337,-1448.01314463441,-2013.96133611153,-3017.7841068611,-3463.98723297734,-3714.4565614563,-3657.22340665947,-3824.41128045827,-3939.67235712772,-3398.73069758155,-3342.97936289638,-3498.84164093368,-5674.43894301767,-6657.12855929783,-8101.25254007246,-8662.81214776394,-8765.67430187892,-7243.74625648059
Adjusted base = CSE+reserve,942.898440878216,1969.76290212074,3225.64825112586,4600.55738394103,6362.91134268545,8300.78701228117,10034.3711545376,11792.8687750885,13856.2444160743,15963.5398135218,18284.4669325215,20904.9628436772,19971.8052622678,23324.4000338641,27218.5124900345,31084.2001248263,34616.4495525447,37877.0757360458
Economic CI (real),797.319085054832,683.44285475152,759.263676089529,873.582818031075,914.591816258978,1060.19734339635,1094.55025189229,1043.24593601833,1057.22637185197,1440.89090560839,1525.25498525868,1826.00598337998,1848.84216202408,2338.25757545316,2452.74451338394,2597.34837847912,2472.94160347619,2308.81067992377
ROE unadjusted,,-0.762420216389412,-0.438630429145124,-0.347228542433969,-0.282204282844009,-0.295383616214548,-0.296960870961971,-0.278881816513881,-0.2723377081447,-0.392698764258724,-0.452483115285605,-0.533777771256448,-0.403092905554122,-0.379231200739745,-0.332386661771269,-0.309870956339568,-0.28378156767903,-0.288431510872915
ROE ADJUSTED (premium),,0.469290984613974,0.292282421426865,0.223245556982764,0.166843512589725,0.144601630193417,0.119393598019035,0.0955911915003357,0.082437654976409,0.0966399283451759,0.0890711682328722,0.0931886987796383,0.0904593121076611,0.108012125287204,0.0970559230129125,0.0890987146905779,0.0752790608805178,0.0636970176504064
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0556386586139256,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947293841353839,0.897365621866913,0.850068927037185,0.805265059308592,0.762822631340463,0.722617180714151,0.68453080494699,0.64845181574327,0.614274411468314,0.581898366885188,0.551228739244196,0.522175589863268,0.494653720382782,0.468582422921374,0.443885243400078,0.420489757340743,0.398327357481257
RI without = CI − r·CSE(prior),,702.627700874675,839.82918511232,985.63692527263,1082.49727595115,1252.92894649497,1301.21763245141,1246.72894061631,1270.01148548463,1660.08899093733,1714.35580226209,2012.00487090557,2043.51301762818,2653.97574662929,2823.13821664373,3048.09120290141,2954.9288512022,2796.52103992687
RI with = (CI+Δres) − r·adjbase(prior),,2761.04741388949,2471.50225091029,3072.84397974282,2867.18005940077,2894.51848948467,2309.05658454864,2410.63247929528,2579.72368965129,2236.30179077262,2902.24082761886,3585.04095897684,1928.15779170246,5562.33750843858,6493.24261947015,5510.1940965505,4378.56998627742,2121.49599894636
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,19780.9678766408,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,19780.9678766408,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
