Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Cumulative premium reserve,7758.35071963116,10148.6316617563,13037.2226224314,15619.2806378971,28276.2213869782,31935.5066418664,39671.3751179236,45309.1951844758,55098.9215831034,62428.1038310203,68930.5892451499,76430.3744271458,79973.2061263243,83555.7721322609,89338.6093459667,93944.6147451076,96014.1182963142,101205.775358476
Economic CSE (real),72110.8539674186,84543.3410976872,93426.1624406976,92680.037820186,101360.860442671,114015.424061526,108675.481654851,111662.353770359,110073.813486996,93559.7446099871,92531.8882345699,90931.4302645417,94057.7160430383,105057.831159763,104939.738645501,92299.7900026681,93694.4917588925,100980.66177317
Adjusted base = CSE+reserve,79869.2046870497,94691.9727594435,106463.385063129,108299.318458083,129637.081829649,145950.930703392,148346.856772775,156971.548954834,165172.735070099,155987.848441007,161462.47747972,167361.804691687,174030.922169363,188613.603292024,194278.347991467,186244.404747776,189708.610055207,202186.437131646
Economic CI (real),8987.23456116277,12804.7567034526,11785.6412464175,7460.25705659562,7534.33779744587,16799.1422110895,5282.25413933814,-1308.33264965497,-94.4489872369595,-16303.5569580154,7405.54914570649,7630.18757915804,7877.66993291931,12690.7790763249,8700.87162515845,10076.5370776427,9934.36740038045,8601.89129143277
ROE unadjusted,,0.163477993016796,0.132445627055149,0.0801720420505909,0.0776572141738851,0.155998068680233,0.0474402322119586,-0.0118756966739747,-0.000851904210352287,-0.160126426217535,0.0795903505440502,0.0831794349037134,0.0851689960212171,0.127471503401984,0.0828664030086348,0.102175635347587,0.106824438969753,0.0883717427248985
ROE ADJUSTED (premium),,0.146707955236811,0.117179491254843,0.069474419294212,0.0633306865896494,0.121914897942634,0.0358973418362238,-0.00857028351459559,-0.000586376924382425,-0.101529003215624,0.0466564280520272,0.0464089058677281,0.0461501919232485,0.0699901870029813,0.0454481824232255,0.0529615483179673,0.0528489838315915,0.0438989538305211
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0552696676923763,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947625076902629,0.897993286374714,0.850960957058883,0.806391942374059,0.764157226405878,0.72413455043857,0.686208059047201,0.650267964725807,0.616210230080609,0.583936266668324,0.553352649607805,0.52437084713887,0.496906964345468,0.470881500301326,0.44621911793507,0.422848425948644,0.400701772157739
RI without = CI − r·CSE(prior),,8819.21376765986,7112.95887834511,2296.62410472429,2411.94290540732,11196.9611374098,-1019.34046034775,-7314.79040702752,-6265.99017387324,-22387.3000510742,2234.53315172891,2515.98086548526,2851.9199994056,7492.24036672229,2894.36020847657,4276.55259498102,4832.98867885687,3423.42786731269
RI with = (CI+Δres) − r·adjbase(prior),,10780.6932436701,9440.63833954264,4158.11915821668,14205.6112040378,13293.4290326436,4951.46317602581,-3869.59406014261,1019.51206349945,-18103.4168892639,5286.63801245285,6205.99528606205,2170.47030239184,6654.71384576304,4059.09766265243,3944.84274347134,1710.20459161308,3308.41651746049
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,49822.540276657,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,49822.5402766569,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
