Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Annual premium reserve (real),4954.95346465824,3482.86458973064,3415.34060263807,4322.71336346543,3168.3944298296,2138.0148519052,3898.18007873547,8076.04415183967,15926.1268290051,6555.34342314522,7261.91051503825,6877.27009787922,1232.61586489061,1069.54730873833,4598.46059543789,3432.04232074228,3071.68556892594,2157.67664785
Cumulative premium reserve,4954.95346465824,8437.81805438887,11853.1586570269,16175.8720204924,19344.266450322,21482.2813022272,25380.4613809626,33456.5055328023,49382.6323618074,55937.9757849526,63199.8862999909,70077.1563978701,71309.7722627607,72379.319571499,76977.7801669369,80409.8224876792,83481.5080566051,85639.1847044551
Economic CSE (real),12811.4654393074,11754.950665932,12228.8172811019,11862.3815725043,11791.1284352371,12158.9835697097,9917.83228991367,3234.97899074177,-7380.90559345805,-10253.9664566937,-13336.3585336309,-34163.4433758426,-35434.0239362399,-28322.1477780346,-24295.2643290015,-23335.772601172,-20953.7344814385,-21293.922611037
Adjusted base = CSE+reserve,17766.4189039656,20192.7687203209,24081.9759381289,28038.2535929967,31135.3948855591,33641.2648719369,35298.2936708763,36691.4845235441,42001.7267683493,45684.0093282589,49863.5277663599,35913.7130220275,35875.7483265208,44057.1717934644,52682.5158379354,57074.0498865072,62527.7735751667,64345.2620934181
Economic CI (real),4852.62547063869,6346.37294495339,6924.95648272948,7013.15468812999,7222.59373814515,6714.36659508905,2704.44886245558,323.658067536508,292.808423740068,3573.35776456416,3868.1735559752,4107.02302086478,2445.76873465258,4354.85182267568,2775.09091630952,5977.98713224523,5563.49188575973,5943.85918806428
ROE unadjusted,,0.516670638302822,0.577470270561544,0.582217159946789,0.610699531340702,0.560696049663753,0.24500352583923,0.0492150401355685,-0.141251137223813,-0.405260412936583,-0.327945762303969,-0.172928006255355,-0.0702832683173799,-0.136609576942358,-0.105481847365063,-0.251012260808383,-0.251232955714883,-0.281381718993497
ROE ADJUSTED (premium),,0.334378754770449,0.312817455465906,0.269114497431053,0.244115207490124,0.207308207006215,0.0784585488976129,0.00899177843449983,0.00744177087027155,0.0815037410560639,0.0809685665083051,0.0957602035951894,0.0681372638465142,0.108962660594376,0.0573723356826051,0.108931745318156,0.0930335629463466,0.0936977531394569
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0551446658759795,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947737340992765,0.898206067512036,0.851263430087425,0.806774139715436,0.764609977955633,0.724649427404208,0.686777321479993,0.650884512513582,0.616867557182994,0.584628418389313,0.554074182713093,0.525116792637246,0.497672792764673,0.471663089299234,0.447012722096889,0.423650648630043,0.401509539242497
RI without = CI − r·CSE(prior),,5639.88896392112,6276.73365586804,6338.80064510522,6568.44666983603,6064.14875722714,2033.94577611241,-223.257480304782,114.4165881798,3980.37533737755,4433.62511013307,4842.45205620413,4329.70040478637,6308.84923328109,4336.90629241935,7317.74136603662,6850.3352688092,7099.3458748972
RI with = (CI+Δres) − r·adjbase(prior),,8849.51430041215,9226.77360117453,10007.8755348539,8844.82804184296,7135.43049911341,4747.49263018276,6453.1896089035,14195.5955982007,7812.52999885457,8610.85464073147,8234.58554067047,1697.93489457768,3446.04297689729,4944.03349375618,6504.86971959855,5487.84804350525,4653.46265414282
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,73284.1968087868,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,73284.1968087868,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
