ticker,tier,n_all,n_fit,shortest,longest,longest_fit,span,a_pp,b_pp,t_b,r2,b_sqrt_pp
KKR,2,2,2,5.758,25.347,25.347,19.589,0.544502,0.189998,,,
KLAC,2,4,4,5.905,35.904,35.904,29.999,0.357825,0.138913,1.552,0.5464,0.066438
KMB,1,7,7,2.204,20.72,20.72,18.516,0.024025,0.19311,4.396,0.7945,0.138402
KMI,1,22,22,1.533,25.952,25.952,24.419,0.085649,0.321799,7.592,0.7424,0.200421
KO,1,18,18,0.597,33.785,33.785,33.188,0.060498,0.139564,9.202,0.8411,0.113671
KR,1,14,14,0.95,23.411,23.411,22.461,0.213485,0.238677,10.081,0.8944,0.17973
L,2,2,2,8.454,16.758,16.758,8.304,0.131278,0.267027,,,
LDOS,2,2,2,5.873,6.571,6.571,0.698,-0.067088,0.507474,,,
LH,2,2,2,4.783,18.491,18.491,13.708,0.503175,0.079054,,,
LLY,1,5,5,0.57,36.526,36.526,35.956,0.269282,0.099589,4.6,0.8758,0.083898
LMT,1,16,16,1.24,37.24,37.24,36.0,0.025728,0.202256,9.835,0.8736,0.123277
LNT,2,2,2,5.076,5.533,5.533,0.457,-2.108361,1.677822,,,
LOW,1,27,27,0.616,36.074,36.074,35.458,0.291736,0.201814,11.417,0.8391,0.149267
LUV,2,2,2,0.531,1.243,1.243,0.712,0.643791,-0.341984,,,
LYB,1,5,5,0.534,34.119,34.119,33.585,0.790187,0.188791,3.259,0.7797,0.156027
MA,1,13,13,0.6,24.572,24.572,23.973,0.159335,0.134887,8.107,0.8566,0.107776
MAR,2,5,5,1.155,7.157,7.157,6.001,0.409988,0.122426,3.352,0.7892,0.13963
MAS,1,7,7,1.243,24.498,24.498,23.255,0.446612,0.147836,4.51,0.8027,0.110204
MCD,1,16,16,0.531,26.059,26.059,25.528,0.235595,0.180328,6.293,0.7388,0.161756
MCK,2,2,2,1.495,2.779,2.779,1.284,0.336321,0.10242,,,
MCO,1,8,8,1.407,35.285,35.285,33.878,0.205034,0.216921,5.571,0.838,0.140706
MDLZ,1,5,5,0.575,24.058,24.058,23.483,0.372071,0.117425,26.782,0.9958,0.098621
MDT,2,2,2,8.569,18.574,18.574,10.004,0.146257,0.18422,,,
MET,1,16,16,0.868,27.409,27.409,26.541,0.334944,0.147159,8.855,0.8485,0.105253
META,1,4,4,0.988,35.989,35.989,35.001,0.203599,0.382276,9.556,0.9786,0.272986
MGM,2,2,2,0.654,2.157,2.157,1.503,1.0245,-0.208869,,,
MKC,2,2,2,0.988,4.493,4.493,3.504,0.449801,0.102896,,,
MLM,2,4,4,0.783,21.325,21.325,20.542,0.671911,0.066156,0.997,0.332,0.070542
MMM,1,8,8,1.155,23.02,23.02,21.864,0.225899,0.191239,5.625,0.8406,0.146397
MO,2,6,6,12.227,22.491,22.491,10.264,2.841145,-0.559174,-3.291,0.7303,-0.270475
MOS,2,5,5,1.24,17.24,17.24,16.0,0.714211,0.19773,1.549,0.4443,0.173758
MPC,2,4,4,14.533,28.074,28.074,13.541,0.9071,0.010491,0.097,0.0046,0.007814
MRK,1,15,15,0.808,35.313,35.313,34.505,0.131815,0.187132,8.565,0.8495,0.138751
MRSH,1,7,7,2.571,22.571,22.571,20.0,0.298779,0.173165,4.953,0.8307,0.109576
MRVL,2,4,4,1.659,4.654,4.654,2.995,0.632117,0.092465,0.198,0.0193,0.099321
MS,2,3,3,0.676,20.427,20.427,19.751,0.263785,0.156505,7.313,0.9816,0.145696
MSCI,2,3,3,3.242,4.493,4.493,1.251,0.158533,0.580016,8.197,0.9853,0.596791
MSFT,2,22,22,0.824,35.576,35.576,34.752,0.966845,-0.141767,-1.937,0.1579,-0.026191
MSI,1,8,7,1.514,71.118,18.037,16.523,0.273127,0.291568,9.455,0.947,0.236724
MU,2,4,4,5.656,25.202,25.202,19.545,0.62143,0.05133,0.578,0.1432,0.025241
NEE,1,19,19,0.698,26.617,26.617,25.919,0.428729,0.121191,2.8,0.3157,0.099197
NEM,2,4,4,5.905,15.57,15.57,9.665,-0.522063,0.523888,1.372,0.4849,0.318329
NFLX,2,4,4,1.656,3.822,3.822,2.166,0.285763,0.094491,0.415,0.0791,0.144633
NI,1,8,8,0.737,25.823,25.823,25.087,0.522079,0.151268,4.196,0.7458,0.123978
NKE,1,7,7,0.602,23.606,23.606,23.003,0.190307,0.188594,5.881,0.8737,0.167569
NOC,1,10,10,1.407,26.571,26.571,25.163,0.280704,0.156573,6.913,0.8566,0.109631
NRG,2,3,3,1.407,6.571,6.571,5.163,1.52931,-0.168955,-1.258,0.6128,-0.170096
NSC,1,18,17,0.783,91.948,28.736,27.953,0.250389,0.165024,8.574,0.8305,0.117033
NTRS,2,4,4,0.723,6.207,6.207,5.484,0.173821,0.171405,4.013,0.8895,0.23369
NUE,1,8,8,0.758,29.336,29.336,28.578,0.313022,0.1069,3.943,0.7215,0.084392
NXPI,1,8,8,0.783,25.287,25.287,24.504,0.408056,0.208575,7.698,0.9081,0.152696
O,1,8,8,0.988,20.572,20.572,19.584,0.350975,0.124038,10.453,0.9479,0.108565
OKE,1,10,10,0.898,21.905,21.905,21.008,0.205457,0.325757,11.152,0.9396,0.253737
ORCL,1,20,20,1.24,28.736,28.736,27.496,0.725402,0.537962,16.991,0.9413,0.357824
OTIS,2,2,2,3.494,13.492,13.492,9.999,0.269955,0.231868,,,
OXY,2,17,17,2.571,22.995,22.995,20.424,0.851817,0.060717,0.695,0.0312,0.046926
PCG,1,10,10,1.867,26.409,26.409,24.542,0.681822,0.175268,2.348,0.408,0.125086
PEG,2,5,5,4.988,24.548,24.548,19.559,0.324446,0.123956,2.38,0.6537,0.071832
PEP,1,25,25,1.155,33.583,33.583,32.427,0.080562,0.17094,8.361,0.7524,0.114824
PFE,1,9,9,2.075,22.078,22.078,20.003,-0.051694,0.270328,9.193,0.9235,0.190071
PFG,2,6,6,6.571,26.571,26.571,20.0,0.849236,0.00233,0.02,0.0001,-0.006114
PG,2,8,8,0.977,21.188,21.188,20.211,0.070094,0.089308,1.861,0.3659,0.072303
PGR,1,9,9,0.57,25.588,25.588,25.018,0.23102,0.175361,12.103,0.9544,0.140811
PH,1,9,9,0.531,22.839,22.839,22.308,0.353574,0.107144,5.479,0.8109,0.100026
PHM,2,3,3,5.823,8.496,8.496,2.672,-1.760174,1.279771,3.26,0.914,0.952479
PKG,2,2,2,1.322,25.131,25.131,23.808,0.376207,0.141681,,,
PLD,1,10,10,1.322,23.532,23.532,22.209,0.205656,0.186772,7.339,0.8707,0.133152
PM,1,18,18,0.994,18.229,18.229,17.235,0.244706,0.208184,15.337,0.9363,0.176018
PNC,2,2,2,0.747,1.183,1.183,0.435,0.159888,0.097159,,,
PNR,2,2,2,2.866,5.908,5.908,3.042,0.497399,0.333211,,,
PNW,2,2,2,5.322,6.324,6.324,1.002,-0.685297,0.819174,,,
PPL,2,9,9,6.656,26.741,26.741,20.085,0.492169,0.110268,2.498,0.4713,0.06012
PRU,2,4,4,6.494,26.497,26.497,20.003,0.813674,0.028472,0.375,0.0658,0.01813
PSA,2,4,4,1.073,5.224,5.224,4.151,0.184842,0.149865,8.999,0.9759,0.186508
PSX,2,6,6,1.536,25.577,25.577,24.041,0.899,-0.036621,-0.206,0.0105,-0.016141
