ticker,tier,s1_pp,b_pp,n_bonds,longest_yrs,in_universe,widen_1,widen_2,widen_3,widen_4,widen_5,widen_6,widen_7,widen_8,widen_9,widen_10,widen_11,widen_12,widen_13,widen_14,widen_15,widen_16,widen_17,widen_18,widen_19,widen_20,widen_21,widen_22,widen_23,widen_24,widen_25,widen_26,widen_27,widen_28,widen_29,widen_30
ANET,4,0.6702668415605587,0.2087912270385138,0,0.0,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
AON,1,0.3340175669404432,0.2284087364641384,14,25.5414,1,0.0,0.1583208716953771,0.2509326447186582,0.3166417433907542,0.3676096799965535,0.4092535164140353,0.4444628784184673,0.47496261508613125,0.5018652894373165,0.5259305516919306,0.5477002294332063,0.5675743881094124,0.5858568418322933,0.6027837501138443,0.6185423247152116,0.6332834867815084,0.6471306800492166,0.6601861611326935,0.6725355868271642,0.6842514233873076,0.6953955231371255,0.7060211011285834,0.7161742720509914,0.7258952598047895,0.735219359993107,0.7441777135276704,0.7527979341559746,0.7611046218092214,0.7691197858281728,0.7768631964105888
AOS,4,0.3199010690890794,0.2087912270385138,0,0.0,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
APA,2,1.0409835223034807,0.2087912270385138,7,22.872,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
APD,2,0.2821519328303186,0.2087912270385138,4,23.7372,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
APH,2,0.10921607517899118,0.2087912270385138,2,5.0732,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
APO,4,0.41316038573803815,0.2087912270385138,0,0.0,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
APP,4,1.0043474767512799,0.2087912270385138,0,0.0,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
APTV,2,0.4199488215009115,0.2087912270385138,3,25.7002,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
ARE,1,0.6810551280750996,0.15297473308342951,9,25.6427,1,0.0,0.10603400493368935,0.16805992162117972,0.2120680098673787,0.2462033350689585,0.274093926554869,0.2976750856560731,0.31810201480106803,0.33611984324235944,0.3522373400026479,0.3668173893183482,0.3801279314885584,0.3923724433301926,0.4037090905897624,0.4142632566901382,0.4241360197347574,0.4334100550754104,0.44215384817604875,0.45042476691843186,0.4582713449363372,0.4657350072772528,0.47285139425203754,0.4796513907663988,0.4861619364222478,0.492406670137917,0.498406448263882,0.5041797648635391,0.5097430955234518,0.5151111808051261,0.5202972616238276
