ticker,tier,spread_30y_pp,a_pp_1y,b_pp,n_fit,longest_fit_yrs,extrapolation_factor
OMC,3,1.1578,0.4477,0.208791,1,4.96,6.04
ON,3,1.5687,0.8586,0.208791,1,2.04,14.73
ORCL,1,2.5014,0.8782,0.477229,30,34.6,0.87
ORLY,2,0.7759,0.462,0.092298,3,5.82,5.15
OTIS,2,0.9966,0.4275,0.167321,2,13.51,2.22
OXY,2,1.1515,0.8841,0.078619,17,23.0,1.3
PCAR,3,0.9088,0.1987,0.208791,1,1.41,21.28
PCG,1,1.3803,0.5353,0.248444,17,26.41,1.14
PEG,1,0.8969,0.2611,0.186927,13,24.55,1.22
PEP,1,0.7383,0.1026,0.186895,25,33.61,0.89
PFE,1,0.9078,0.1136,0.233519,16,23.77,1.26
PFG,2,0.9205,0.9057,0.004333,6,26.57,1.13
PG,1,0.4875,0.107,0.111856,11,21.19,1.42
PGR,1,0.8379,0.2714,0.166568,9,25.59,1.17
PH,1,0.7585,0.3629,0.116294,9,22.84,1.31
PHM,2,2.7156,-1.7814,1.322201,3,8.5,3.53
PKG,2,0.9041,0.401,0.14793,2,25.13,1.19
PLD,1,0.9286,0.2431,0.201542,12,23.53,1.27
PM,1,1.1165,0.2383,0.258213,18,18.24,1.64
PNC,2,1.0722,0.2,0.256419,3,3.43,8.75
PNR,2,1.679,0.5589,0.329339,2,5.91,5.08
PNW,1,1.1657,0.3594,0.237067,6,19.26,1.56
PPG,3,1.1567,0.4465,0.208791,1,1.57,19.1
PPL,2,0.8641,0.5112,0.103756,9,26.75,1.12
PRU,1,1.0579,0.136,0.271038,18,26.5,1.13
PSA,2,0.7803,0.2084,0.168151,4,5.22,5.74
PSX,2,0.8449,0.8111,0.009925,7,25.58,1.17
PTC,3,1.9732,1.263,0.208791,1,1.51,19.92
PWR,2,1.1497,0.4279,0.212223,2,15.12,1.98
PYPL,2,0.8683,0.1529,0.210356,4,35.78,0.84
QCOM,1,1.0072,0.2097,0.234481,12,26.77,1.12
RCL,2,1.1612,0.4843,0.19903,2,1.58,18.93
REG,3,0.9704,0.2603,0.208791,1,1.58,19.02
REGN,2,0.9645,0.5542,0.120634,2,24.09,1.25
RF,2,1.4762,0.162,0.386394,2,11.33,2.65
RJF,2,1.071,-0.2025,0.37441,2,24.63,1.22
ROK,2,0.73,0.4708,0.076218,2,35.01,0.86
ROP,2,1.6171,0.1864,0.420636,2,4.51,6.66
ROST,2,1.1337,0.7077,0.125244,3,23.67,1.27
RSG,2,0.8559,0.1282,0.213949,4,6.58,4.56
RTX,1,0.8119,0.3063,0.148671,11,26.54,1.13
RVTY,1,1.0453,0.5062,0.158513,4,24.57,1.22
SBUX,1,1.0121,0.2607,0.220928,12,24.25,1.24
SCHW,2,0.7493,0.3414,0.119934,11,5.55,5.4
SHW,1,0.9855,0.3836,0.176982,7,25.59,1.17
SJM,1,1.0497,0.6329,0.122551,4,18.58,1.61
SLB,3,0.7918,0.0816,0.208791,1,3.85,7.79
SNA,2,0.7983,0.2915,0.148994,2,21.53,1.39
SO,1,0.9922,0.3142,0.199354,37,25.74,1.17
SPG,1,0.8893,0.3201,0.167361,16,26.55,1.13
SPGI,1,0.7576,0.3932,0.107135,5,35.55,0.84
SRE,1,1.0095,0.5294,0.141163,19,26.63,1.13
STE,2,1.1236,0.3678,0.22223,2,24.59,1.22
STT,2,4.0125,-1.941,1.750414,2,4.55,6.59
STX,3,2.2529,1.5427,0.208791,1,8.29,3.62
STZ,1,1.0417,0.4852,0.163639,10,22.26,1.35
SWK,1,1.1249,0.293,0.244585,7,24.26,1.24
SWKS,3,1.4914,0.7812,0.208791,1,4.78,6.27
SYF,2,2.8974,0.4208,0.728153,4,6.47,4.64
SYK,1,0.9547,0.2911,0.195122,5,19.58,1.53
SYY,1,1.1821,0.396,0.23112,7,25.33,1.18
T,1,1.4273,0.5297,0.263903,52,34.46,0.87
TDY,2,1.2173,0.369,0.249423,2,4.63,6.48
TEL,2,0.9004,0.3835,0.15199,3,11.15,2.69
TFC,2,1.1637,0.2702,0.262698,2,3.81,7.88
TGT,1,0.8613,0.0214,0.246945,12,26.42,1.14
TMO,1,0.8349,0.1958,0.187917,8,21.0,1.43
TMUS,1,1.3246,0.3848,0.276321,16,36.09,0.83
TPR,3,0.9325,0.2224,0.208791,1,5.57,5.38
TRGP,1,1.2593,0.4578,0.235675,6,26.5,1.13
TRMB,3,1.4003,0.6901,0.208791,1,6.57,4.57
TRV,2,0.8875,0.2915,0.17521,9,24.82,1.21
TSN,1,1.0677,0.5749,0.144902,6,22.11,1.36
TT,1,0.7398,0.2923,0.131585,6,21.53,1.39
TTWO,2,0.9644,0.4777,0.143106,2,5.65,5.31
TXN,1,0.8253,0.1536,0.197498,10,26.57,1.13
TXT,2,1.081,0.5043,0.169558,2,1.55,19.39
UDR,2,1.3022,0.4176,0.260091,4,6.83,4.39
UHS,2,1.6927,0.6789,0.298073,2,5.41,5.55
UNH,1,1.0001,0.2122,0.231651,42,36.51,0.82
UNP,1,0.8147,0.2079,0.178398,35,45.5,0.66
UPS,1,0.8661,0.0787,0.231487,12,26.55,1.13
URI,2,1.7,0.6813,0.299514,5,4.51,6.66
USB,2,0.8645,0.3094,0.163213,4,3.92,7.65
V,1,0.6516,0.2287,0.124332,9,24.0,1.25
VICI,1,1.5159,0.7504,0.225054,7,25.74,1.17
VLO,1,1.0658,0.3257,0.217607,11,25.79,1.16
VMC,1,1.1199,0.3736,0.219418,4,21.55,1.39
VRSK,3,1.215,0.5049,0.208791,1,18.84,1.59
VRSN,3,1.231,0.5209,0.208791,1,4.83,6.2
VTR,2,0.9949,0.5198,0.139678,4,5.04,5.96
VTRS,3,1.563,0.8529,0.208791,1,0.84,35.67
VZ,1,1.2168,0.2917,0.272005,53,34.6,0.87
WDAY,2,1.5993,0.1143,0.436626,2,5.62,5.34
WEC,2,0.8678,0.2855,0.171206,3,25.3,1.19
WELL,1,0.8816,0.2774,0.177638,8,22.07,1.36
WFC,1,1.1945,0.3271,0.255039,11,20.3,1.48
WM,1,0.7608,0.3336,0.125603,8,18.54,1.62
WMB,1,1.1371,0.4438,0.203849,18,26.0,1.15
WMT,2,0.4427,0.3338,0.032001,21,26.06,1.15
WRB,2,0.9987,0.6557,0.100837,3,35.12,0.85
WTW,1,1.0646,0.4501,0.180652,5,23.1,1.3
WY,1,1.13,0.4155,0.21006,7,25.57,1.17
XEL,1,0.9938,0.3,0.204009,25,25.82,1.16
XOM,1,0.7116,0.1393,0.168267,11,24.65,1.22
XYZ,3,1.4747,0.7645,0.208791,1,4.78,6.27
YUM,2,1.2971,0.9282,0.108476,4,17.22,1.74
ZTS,1,1.0083,0.2776,0.214841,7,22.01,1.36
